"","scenario","scena1","prc.Grass_carp","prc.Common_carp","prc.Pike_perch","prc.Roach","prc.Tench","EE.Roach_juv","EE.Tench_juv","EE.Macroinvertebrate","EE.Zooplancton","EE.Macrophyte","EE.Phytoplancton","Feed","EE.Detritus","RDT","FCI","Profitability","n"
"279","scenario1249","1249",35,5,25,25,10,0.0722843017283923,-1.60916049925705,3.01211808248478,2.18658008870867,0.805135400426165,0.0304083926790278,0.332360517308905,0.0221960981535408,1725.59441121244,0.0536791890534513,10548.32328316,13
"280","scenario125","125",10,20,60,5,5,-0.638905221127724,-1.38166105926446,1.60346413458809,2.02091374943031,0.710969638884356,0.00796988406074425,0.377914779917871,0.00593848916889305,898.591088780245,0.338079787606852,7764.90170060213,13
"281","scenario1250","1250",30,10,25,25,10,0.0722843017283923,-1.60916049925705,2.97787980309024,2.18055816623422,0.799132105429962,0.0289346104409113,0.358855932305142,0.0209164657042194,1666.28343994374,0.0536919723839584,9636.96160071794,13
"282","scenario1251","1251",25,15,25,25,10,0.0722843017283923,-1.60916049925705,2.94364152369571,2.17453624375977,0.793128810433758,0.0274608282027947,0.38535134730138,0.0196435673460565,1606.97246867504,0.0537047504775776,8725.59991827588,13
"283","scenario1252","1252",20,20,25,25,10,0.0722843017283923,-1.60916049925705,2.90940324430118,2.16851432128532,0.787125515437554,0.0259870459646782,0.411846762297618,0.0183773500611236,1547.66149740634,0.0537175221465383,7814.23823583381,13
"284","scenario1253","1253",15,25,25,25,10,0.0722843017283923,-1.60916049925705,2.87516496490664,2.16249239881087,0.78112222044135,0.0245132637265617,0.438342177293856,0.0171177613865867,1488.35052613764,0.0537302862205125,6902.87655339174,13
"285","scenario1254","1254",10,30,25,25,10,0.0722843017283923,-1.60916049925705,2.84092668551211,2.15647047633642,0.775118925445146,0.0230394814884451,0.464837592290094,0.0158647494074606,1429.03955486893,0.0537430414077288,5991.51487094968,13
"286","scenario1255","1255",5,35,25,25,10,0.0722843017283923,-1.60916049925705,2.80668840611757,2.15044855386197,0.769115630448943,0.0215656992503286,0.491333007286331,0.0146182627494764,1369.72858360023,0.0537557864977425,5080.15318850761,13
"287","scenario1256","1256",30,5,30,25,10,0.0802474880598564,-1.77663161877436,3.11874841902743,2.18212050592765,0.798731375209504,0.0287978374825536,0.311929857692769,0.020824263337596,1670.55924418517,0.0539608835966323,10096.0307543927,13
"288","scenario1257","1257",25,10,30,25,10,0.0802474880598564,-1.77663161877436,3.08451013963289,2.1760985834532,0.7927280802133,0.0273240552444371,0.338425272689007,0.0195499389992084,1611.24827291647,0.0539740570351626,9184.66907195063,13
"289","scenario1258","1258",20,15,30,25,10,0.0802474880598564,-1.77663161877436,3.05027186023836,2.17007666097875,0.786724785217096,0.0258502730063205,0.364920687685245,0.0182823119649808,1551.93730164777,0.0539872259021938,8273.30738950856,13
"290","scenario1259","1259",15,20,30,25,10,0.0802474880598564,-1.77663161877436,3.01603358084382,2.1640547385043,0.780721490220892,0.024376490768204,0.391416102681483,0.0170213295760367,1492.62633037906,0.0540003890140287,7361.94570706649,13
"291","scenario126","126",5,25,60,5,5,-0.638905221127724,-1.38166105926446,1.56922585519355,2.01489182695586,0.704966343888152,0.00649610182262772,0.404410194914109,0.00473922109933678,839.280117511543,0.337069278720182,6853.54001816006,13
"292","scenario1260","1260",10,25,30,25,10,0.0802474880598564,-1.77663161877436,2.98179530144929,2.15803281602985,0.774718195224688,0.0229027085300875,0.417911517677721,0.0157669397241105,1433.31535911036,0.0540135451533003,6450.58402462442,13
"293","scenario1261","1261",5,30,30,25,10,0.0802474880598564,-1.77663161877436,2.94755702205475,2.1520108935554,0.768714900228485,0.0214289262919709,0.444406932673958,0.0145190908443703,1374.00438784166,0.0540266931064932,5539.22234218236,13
"294","scenario1262","1262",25,5,35,25,10,0.0882106743913205,-1.94410273829167,3.22537875557007,2.17766092314663,0.792327349992842,0.0271872822860794,0.291499198076634,0.0194560648163698,1615.52407715789,0.054243955246381,9643.73822562537,13
"295","scenario1263","1263",20,10,35,25,10,0.0882106743913205,-1.94410273829167,3.19114047617554,2.17163900067218,0.786324054996638,0.0257135000479629,0.317994613072871,0.0181870249879184,1556.21310588919,0.0542575244020345,8732.37654318331,13
"296","scenario1264","1264",15,15,35,25,10,0.0882106743913205,-1.94410273829167,3.156902196781,2.16561707819773,0.780320760000434,0.0242397178098463,0.344490028069109,0.0169246458975006,1496.90213462049,0.0542710897159815,7821.01486074124,13
"297","scenario1265","1265",10,20,35,25,10,0.0882106743913205,-1.94410273829167,3.12266391738647,2.15959515572327,0.77431746500423,0.0227659355717298,0.370985443065347,0.015668875242613,1437.59116335179,0.0542846500165963,6909.65317829917,13
"298","scenario1266","1266",5,25,35,25,10,0.0882106743913205,-1.94410273829167,3.08842563799194,2.15357323324882,0.768314170008026,0.0212921533336133,0.397480858061585,0.0144196612669199,1378.28019208309,0.0542982040765338,5998.2914958571,13
"299","scenario1267","1267",20,5,40,25,10,0.0961738607227846,-2.11157385780899,3.33200909211272,2.1732013403656,0.78592332477618,0.0255767270896052,0.271068538460498,0.0180914881510195,1560.48891013062,0.0545284191934179,9191.44569685805,13
"300","scenario1268","1268",15,10,40,25,10,0.0961738607227846,-2.11157385780899,3.29777081271819,2.16717941789115,0.779920029779976,0.0241029448514887,0.297563953456736,0.0168277093629161,1501.17793886192,0.0545423898453217,8280.08401441598,13
"301","scenario1269","1269",10,15,40,25,10,0.0961738607227846,-2.11157385780899,3.26353253332365,2.1611574954167,0.773916734783772,0.0226291626133721,0.324059368452974,0.0155705549660307,1441.86696759322,0.0545563574619466,7368.72233197392,13
"302","scenario127","127",20,5,65,5,5,-0.687742384852857,-1.48642272874225,1.81280930931434,2.03451993407264,0.722575498656305,0.0107806755786197,0.277997875313022,0.00824934331427582,1021.48883555908,0.34092820961532,10046.694219161,13
"303","scenario1270","1270",5,20,40,25,10,0.0961738607227846,-2.11157385780899,3.22929425392912,2.15513557294225,0.767913439787568,0.0211553803752556,0.350554783449212,0.0143199730115771,1382.55599632451,0.0545703208649356,6457.36064953185,13
"304","scenario1271","1271",15,5,45,25,10,0.104137047054249,-2.2790449773263,3.43863942865537,2.16874175758458,0.779519299559518,0.023966171893131,0.250637878844363,0.0167305189790457,1505.45374310335,0.054814290842139,8739.15316809073,13
"305","scenario1272","1272",10,10,45,25,10,0.104137047054249,-2.2790449773263,3.40440114926083,2.16271983511013,0.773516004563314,0.0224923896550145,0.277133293840601,0.0154719778922181,1446.14277183464,0.0548286689716146,7827.79148564867,13
"306","scenario1273","1273",5,15,45,25,10,0.104137047054249,-2.2790449773263,3.3701628698663,2.15669791263568,0.76751270956711,0.0210186074168979,0.303628708836839,0.0142200250675551,1386.83180056594,0.054843044888102,6916.4298032066,13
"307","scenario1274","1274",10,5,50,25,10,0.112100233385713,-2.44651609684361,3.54526976519802,2.16428217480355,0.773115274342856,0.0223556166966568,0.230207219228227,0.0153731430137882,1450.41857607607,0.0551015859826813,8286.86063932341,13
"308","scenario1275","1275",5,10,50,25,10,0.112100233385713,-2.44651609684361,3.51103148580348,2.1582602523291,0.767111979346652,0.0208818344585403,0.256702634224465,0.0141198164187939,1391.10760480737,0.0551163776590892,7375.49895688135,13
"309","scenario1276","1276",5,5,55,25,10,0.120063419717177,-2.61398721636092,3.65190010174066,2.15982259202253,0.766711249126194,0.0207450615001826,0.209776559612092,0.014019346043926,1395.3834090488,0.0553903206460059,7834.56811055609,13
"310","scenario1277","1277",50,5,5,30,10,0.0352569016812512,-1.06383881566232,3.09231391787082,2.23424057219194,0.839661120889999,0.0388154644530617,0.392532351906877,0.0288340899858257,2032.03199914502,0.0529877211608141,11819.3954788573,13
"311","scenario1278","1278",45,10,5,30,10,0.0352569016812512,-1.06383881566232,3.05807563847628,2.22821864971749,0.833657825893796,0.0373416822149452,0.419027766903115,0.0275249849706254,1972.72102787631,0.0529964725968914,10908.0337964153,13
"312","scenario1279","1279",40,15,5,30,10,0.0352569016812512,-1.06383881566232,3.02383735908175,2.22219672724304,0.827654530897592,0.0358678999768287,0.445523181899353,0.026222832499022,1913.41005660761,0.0530051640192937,9996.67211397321,13
"313","scenario128","128",15,10,65,5,5,-0.687742384852857,-1.48642272874225,1.7785710299198,2.02849801159819,0.716572203660101,0.00930689334050313,0.30449329030926,0.00703641334155649,962.177864290375,0.340109339743262,9135.33253671894,13
