scenario;scena1;prc.Striped_catfish;prc.Silver_Carp;prc.Clarias_macrocephalus;prc.Common_carp;EE.Macroinvertebrate;EE.Zooplancton;EE.Phytoplancton;EE.Feed;EE.Detritus;RDT;FCI;Profitability;n
scenario13158;13158;14;38;14;34;0.53085669;0.685533693;0.580904537;1.891124388;0.401608642;2371.172806;0.158473596;2981.741027;9
scenario13159;13159;12;40;14;34;0.530357853;0.686043148;0.582514589;2.03207589;0.403651854;2281.339423;0.158928458;2929.136407;9
scenario1316;1316;66;20;10;4;0.435018261;0.645848447;0.566046588;1.066520419;0.353776162;4419.676396;0.151428886;3918.714594;9
scenario13160;13160;10;42;14;34;0.529859017;0.686552604;0.584124641;2.229407991;0.405714103;2191.506039;0.159385878;2876.531786;9
scenario13161;13161;8;44;14;34;0.52936018;0.687062059;0.585734693;2.525406144;0.407795654;2101.672655;0.159845875;2823.927165;9
scenario13162;13162;6;46;14;34;0.528861343;0.687571514;0.587344745;3.018736398;0.40989678;2011.839272;0.160308471;2771.322544;9
scenario13163;13163;4;48;14;34;0.528362507;0.688080969;0.588954797;4.005396906;0.412017759;1922.005888;0.160773687;2718.717923;9
scenario13164;13164;2;50;14;34;0.52786367;0.688590424;0.590564849;6.965378431;0.414158873;1832.172504;0.161241543;2666.113302;9
scenario13165;13165;48;2;16;34;0.55427682;0.680664984;0.552227522;1.292080508;0.369909803;3934.89739;0.150751518;3930.855176;9
scenario13166;13166;46;4;16;34;0.553777983;0.681174439;0.553837574;1.302805079;0.371668715;3845.064006;0.151164878;3878.250555;9
scenario13167;13167;44;6;16;34;0.553279146;0.681683895;0.555447626;1.314504611;0.373442822;3755.230623;0.151580469;3825.645934;9
scenario13168;13168;42;8;16;34;0.55278031;0.68219335;0.557057679;1.327318384;0.375232322;3665.397239;0.151998308;3773.041313;9
scenario13169;13169;40;10;16;34;0.552281473;0.682702805;0.558667731;1.341413534;0.377037416;3575.563855;0.152418414;3720.436692;9
scenario1317;1317;64;22;10;4;0.434519424;0.646357902;0.56765664;1.067179951;0.355417939;4329.843012;0.15183975;3866.109973;9
scenario13170;13170;38;12;16;34;0.551782637;0.68321226;0.560277783;1.356992384;0.378858308;3485.730472;0.152840803;3667.832071;9
scenario13171;13171;36;14;16;34;0.5512838;0.683721715;0.561887835;1.374302217;0.380695208;3395.897088;0.153265494;3615.22745;9
scenario13172;13172;34;16;16;34;0.550784963;0.684231171;0.563497887;1.393648502;0.382548326;3306.063705;0.153692504;3562.62283;9
scenario13173;13173;32;18;16;34;0.550286127;0.684740626;0.565107939;1.415413072;0.38441788;3216.230321;0.154121852;3510.018209;9
scenario13174;13174;30;20;16;34;0.54978729;0.685250081;0.566717991;1.440079585;0.386304088;3126.396937;0.154553556;3457.413588;9
scenario13175;13175;28;22;16;34;0.549288454;0.685759536;0.568328043;1.468269885;0.388207174;3036.563554;0.154987635;3404.808967;9
scenario13176;13176;26;24;16;34;0.548789617;0.686268992;0.569938095;1.500797154;0.390127365;2946.73017;0.155424108;3352.204346;9
scenario13177;13177;24;26;16;34;0.54829078;0.686778447;0.571548147;1.538745635;0.392064894;2856.896786;0.155862994;3299.599725;9
scenario13178;13178;22;28;16;34;0.547791944;0.687287902;0.573158199;1.58359384;0.394019995;2767.063403;0.156304311;3246.995104;9
scenario13179;13179;20;30;16;34;0.547293107;0.687797357;0.574768251;1.637411686;0.39599291;2677.230019;0.156748079;3194.390483;9
scenario1318;1318;62;24;10;4;0.434020588;0.646867357;0.569266693;1.067882034;0.357073497;4240.009628;0.15225281;3813.505352;9
scenario13180;13180;18;32;16;34;0.546794271;0.688306812;0.576378303;1.703189053;0.397983883;2587.396635;0.157194319;3141.785862;9
scenario13181;13181;16;34;16;34;0.546295434;0.688816268;0.577988355;1.785410762;0.399993163;2497.563252;0.157643049;3089.181241;9
scenario13182;13182;14;36;16;34;0.545796597;0.689325723;0.579598407;1.891124388;0.402021003;2407.729868;0.158094289;3036.57662;9
scenario13183;13183;12;38;16;34;0.545297761;0.689835178;0.581208459;2.03207589;0.404067662;2317.896484;0.158548061;2983.971999;9
scenario13184;13184;10;40;16;34;0.544798924;0.690344633;0.582818511;2.229407991;0.406133403;2228.063101;0.159004384;2931.367378;9
scenario13185;13185;8;42;16;34;0.544300088;0.690854089;0.584428563;2.525406144;0.408218494;2138.229717;0.159463278;2878.762757;9
scenario13186;13186;6;44;16;34;0.543801251;0.691363544;0.586038615;3.018736398;0.410323209;2048.396333;0.159924766;2826.158137;9
scenario13187;13187;4;46;16;34;0.543302414;0.691872999;0.587648668;4.005396906;0.412447825;1958.56295;0.160388867;2773.553516;9
scenario13188;13188;2;48;16;34;0.542803578;0.692382454;0.58925872;6.965378431;0.414592627;1868.729566;0.160855603;2720.948895;9
scenario13189;13189;46;2;18;34;0.568717891;0.684966469;0.552531445;1.302805079;0.372032131;3881.621068;0.150803017;3933.086148;9
scenario1319;1319;60;26;10;4;0.433521751;0.647376812;0.570876745;1.068630923;0.35874301;4150.176245;0.152668083;3760.900731;9
scenario13190;13190;44;4;18;34;0.568219054;0.685475924;0.554141497;1.314504611;0.373809048;3791.787685;0.151217606;3880.481527;9
scenario13191;13191;42;6;18;34;0.567720217;0.685985379;0.555751549;1.327318384;0.375601394;3701.954301;0.151634439;3827.876906;9
scenario13192;13192;40;8;18;34;0.567221381;0.686494835;0.557361601;1.341413534;0.37740937;3612.120917;0.152053533;3775.272285;9
scenario13193;13193;38;10;18;34;0.566722544;0.68700429;0.558971653;1.356992384;0.379233181;3522.287534;0.152474905;3722.667664;9
scenario13194;13194;36;12;18;34;0.566223708;0.687513745;0.560581705;1.374302217;0.381073036;3432.45415;0.152898573;3670.063043;9
scenario13195;13195;34;14;18;34;0.565724871;0.6880232;0.562191757;1.393648502;0.382929147;3342.620766;0.153324556;3617.458422;9
scenario13196;13196;32;16;18;34;0.565226034;0.688532656;0.563801809;1.415413072;0.384801732;3252.787383;0.153752872;3564.853801;9
scenario13197;13197;30;18;18;34;0.564727198;0.689042111;0.565411861;1.440079585;0.386691011;3162.953999;0.154183538;3512.24918;9
scenario13198;13198;28;20;18;34;0.564228361;0.689551566;0.567021913;1.468269885;0.388597207;3073.120615;0.154616574;3459.64456;9
scenario13199;13199;26;22;18;34;0.563729525;0.690061021;0.568631965;1.500797154;0.390520549;2983.287232;0.155051998;3407.039939;9
scenario132;132;14;78;6;2;0.386906803;0.6502532;0.612146278;1.09516297;0.400654515;1996.62428;0.163894598;2419.918238;9
scenario1320;1320;58;28;10;4;0.433022915;0.647886268;0.572486797;1.069431458;0.360426655;4060.342861;0.153085585;3708.29611;9
scenario13200;13200;24;24;18;34;0.563230688;0.690570476;0.570242017;1.538745635;0.392461269;2893.453848;0.155489829;3354.435318;9
scenario13201;13201;22;26;18;34;0.562731851;0.691079932;0.571852069;1.58359384;0.394419604;2803.620465;0.155930087;3301.830697;9
scenario13202;13202;20;28;18;34;0.562233015;0.691589387;0.573462121;1.637411686;0.396395795;2713.787081;0.15637279;3249.226076;9
scenario13203;13203;18;30;18;34;0.561734178;0.692098842;0.575072173;1.703189053;0.398390088;2623.953697;0.156817959;3196.621455;9
scenario13204;13204;16;32;18;34;0.561235342;0.692608297;0.576682225;1.785410762;0.400402731;2534.120314;0.157265612;3144.016834;9
scenario13205;13205;14;34;18;34;0.560736505;0.693117753;0.578292278;1.891124388;0.40243398;2444.28693;0.157715771;3091.412213;9
scenario13206;13206;12;36;18;34;0.560237668;0.693627208;0.57990233;2.03207589;0.404484093;2354.453546;0.158168455;3038.807592;9
scenario13207;13207;10;38;18;34;0.559738832;0.694136663;0.581512382;2.229407991;0.406553336;2264.620163;0.158623684;2986.202971;9
scenario13208;13208;8;40;18;34;0.559239995;0.694646118;0.583122434;2.525406144;0.408641975;2174.786779;0.159081479;2933.59835;9
scenario13209;13209;6;42;18;34;0.558741159;0.695155573;0.584732486;3.018736398;0.410750287;2084.953395;0.159541862;2880.993729;9
scenario1321;1321;56;30;10;4;0.432524078;0.648395723;0.574096849;1.070289176;0.362124612;3970.509478;0.153505335;3655.691489;9
